id;red;green;blue;RGB;hue(360);sat(100);brit(100);altura;largura;ano;mes;categoria;autor;Museum Latitude;Museum Longitude;nome
86;36.883476;34.265514;22.984447;55.342583;85.11168;34.717484;14.368237;45;60.4;1885;9;still life;Van Gogh;48.85338;2.35107;img45.jpg
87;44.632233;44.64031;25.18377;67.96334;64.255424;44.30549;17.769888;45;60.5;1885;9;still life;Van Gogh;48.85338;2.35107;img46.jpg
88;49.01021;48.516457;27.11579;74.10204;67.61391;43.778275;19.675066;33.5;44;1885;9;still life;Van Gogh;48.85338;2.35107;img47.jpg
89;60.882835;56.342567;31.506191;88.73469;53.96624;50.127403;24.519371;32.3;43.2;1884;10;still life;Van Gogh;48.85338;2.35107;img48.jpg
90;26.534819;29.14862;17.69339;43.20642;96.350105;41.408886;11.760604;65;78.5;1885;9;still life;Van Gogh;48.85338;2.35107;img49.jpg
91;31.329311;26.53593;14.011906;43.382195;46.028584;56.357395;12.329476;31.3;43.2;1885;9;still life;Van Gogh;48.85338;2.35107;img50.jpg
92;52.071705;51.73058;33.493923;80.680595;62.924896;38.004345;20.697063;39.3;46.5;1885;9;still life;Van Gogh;48.85338;2.35107;img51.jpg
93;27.23893;28.34769;17.783936;43.1488;74.64578;36.15817;11.222028;50.8;66;1885;9;still life;Van Gogh;48.85338;2.35107;img52.jpg
94;71.60876;64.93826;41.04688;105.02209;50.853615;39.384365;28.32194;65.7;78.5;1885;10;still life;Van Gogh;48.85338;2.35107;img53.jpg
95;64.024704;58.24707;29.411148;91.41608;57.776875;57.329475;25.776949;99;65.7;1884;10;landscape;Van Gogh;48.85338;2.35107;img54.jpg
96;55.107887;50.303818;38.12771;83.79186;48.84743;30.674109;21.846287;42.7;33.5;1885;3;peasant life/figures;Van Gogh;48.85338;2.35107;img55.jpg
97;83.088;77.60867;49.493984;124.00151;51.030556;47.972385;32.545925;41.8;32.5;1885;7;peasant life;Van Gogh;48.85338;2.35107;img56.jpg
98;33.982895;36.574566;25.32171;55.979683;86.83111;29.914747;15.000501;42;33.3;1884;11;peasant life/figures;Van Gogh;48.85338;2.35107;img57.jpg
99;68.00986;57.51224;31.25151;94.390976;43.312572;56.181435;26.49102;47.8;34.8;1884;11;peasant life/figures;Van Gogh;48.85338;2.35107;img58.jpg
100;33.19388;31.729074;15.886403;48.58956;79.49024;52.123695;14.048925;43.2;30;1885;4;peasant life/figures;Van Gogh;48.85338;2.35107;img59.jpg
101;26.371996;31.851536;15.704574;44.23388;96.55282;49.797592;12.743443;45.5;33;1885;5;peasant life/figures;Van Gogh;48.85338;2.35107;img60.jpg
102;25.174229;29.517693;17.721731;42.65086;96.819244;38.784065;12.056107;37.7;29.5;1884;11;peasant life/figures;Van Gogh;48.85338;2.35107;img61.jpg
103;81.599754;83.96415;73.19394;138.07915;102.16418;14.323072;33.63536;50.5;39.8;1885;12;peasant life/figures;Van Gogh;48.85338;2.35107;img62.jpg
104;30.69045;37.024208;23.14875;53.371906;122.676704;39.16626;14.504968;34;44.3;1885;4;peasant life;Van Gogh;48.85338;2.35107;img63.jpg
