id;red;green;blue;RGB;hue(360);sat(100);brit(100);altura;largura;ano;mes;categoria;autor;Museum Latitude;Museum Longitude;nome
31;134.18301;151.18994;138.32947;244.94595;133.85439;20.616793;63.673817;46;38;1888;12;self-portrait;Van Gogh;-30.06177;-51.17204;Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project_2.jpg
32;97.61269;105.03802;97.86019;173.60254;133.54205;31.624754;45.402966;51;45;1889;1;self-portrait;Van Gogh;48.85338;2.35107;Vincent_van_Gogh_-_Self-portrait_with_grey_felt_hat_-_Google_Art_Project.jpg
33;45.77259;33.739494;30.945005;64.738525;115.626976;38.325615;17.626312;60;49;1889;1;self-portrait;Van Gogh;-30.06177;-51.17204;Vincent_van_Gogh_-_Self-portrait_with_pipe_-_Google_Art_Project.jpg
34;134.0462;122.78388;106.60669;210.73502;107.949036;28.435556;55.62546;57.79;44.5;1889;8;self-portrait;Van Gogh;48.85338;2.35107;Vincent_Willem_van_Gogh_102.jpg
35;108.06893;88.891304;80.88972;161.6283;117.95347;33.749985;44.682266;65;54;1889;9;self-portrait;Van Gogh;-30.06177;-51.17204;Vincent_Willem_van_Gogh_103.jpg
36;136.88829;92.35464;74.15425;181.01556;100.69555;41.23913;53.925945;40;31;1889;9;self-portrait;Van Gogh;48.85338;2.35107;Vincent_Willem_van_Gogh_106.jpg
37;161.9429;148.96623;114.50105;248.04623;72.47166;33.34163;66.32354;51;45;1889;9;self-portrait;Van Gogh;-30.034733;-51.205823;Vincent_Willem_van_Gogh_110.jpg
38;130.44102;134.75462;114.40307;219.68553;93.03992;23.118376;54.912506;75;113;1887;5;not defined;Van Gogh;48.85338;2.35107;img1.png
39;119.94106;119.922325;91.643265;192.7841;86.41207;48.044888;54.800476;59.6;73.6;1888;3;not defined;Van Gogh;-30.034733;-51.205823;img10.png
40;89.96926;153.72688;149.28986;232.40887;156.23808;47.563442;62.32095;73.2;92.7;1889;9;not defined;Van Gogh;48.85338;2.35107;img11.png
41;124.018326;134.99422;88.848854;203.71083;116.13343;50.842754;59.186085;50.4;101.3;1890;7;not defined;Van Gogh;-30.06177;-51.17204;img12.png
42;86.95025;89.25148;56.203495;136.6931;113.939865;44.964645;38.60261;50.5;103;1890;7;not defined;Van Gogh;48.85338;2.35107;img13.png
43;151.9023;140.40831;125.50923;241.95325;34.85638;15.875083;59.571575;82;114;1885;4;not defined;Van Gogh;-30.06177;-51.17204;img14.png
44;115.77396;106.07084;91.29179;181.62827;78.2344;18.46641;45.56064;72.4;91.3;1888;10;not defined;Van Gogh;48.85338;2.35107;img15.png
45;72.65968;70.78185;74.369896;125.7791;176.55194;21.24326;31.609158;95;73;1889;1;not defined;Van Gogh;-30.06177;-51.17204;img16.png
46;151.67085;134.83772;117.427704;234.46646;32.568798;22.219639;59.494736;50.3;100.1;1890;7;not defined;Van Gogh;48.85338;2.35107;img17.png
47;135.93167;117.88857;110.36962;211.08432;59.753307;19.65869;53.38268;72;91.5;1888;9;not defined;Van Gogh;-30.06177;-51.17204;img18.png
48;196.84679;178.07442;151.77612;305.76978;44.7969;23.03058;77.46026;73.3;92.4;1890;2;not defined;Van Gogh;48.85338;2.35107;img19.png
49;155.26625;158.29372;121.528694;252.8512;77.37715;30.545662;65.326126;92.7;73.9;1890;5;not defined;Van Gogh;-30.06177;-51.17204;img2.png
50;170.00679;151.4309;125.68314;260.05743;34.766106;27.256674;66.69588;32.5;40.3;1888;9;not defined;Van Gogh;48.85338;2.35107;img20.png
51;157.91148;135.06252;111.121346;235.6393;34.419147;33.069157;61.955246;50.4;31.6;1882;11;not defined;Van Gogh;-30.06177;-51.17204;img21.png
52;149.58337;129.04709;91.543686;217.73512;55.877605;39.46371;59.837326;41.7;54.1;1883;12;not defined;Van Gogh;48.85338;2.35107;img22.png
53;154.13632;131.46011;100.48223;226.13368;34.487984;34.814438;60.43048;35.5;44.6;1884;8;not defined;Van Gogh;-30.06177;-51.17204;img23.png
54;148.13573;151.70407;152.80655;261.3583;131.77454;21.891315;64.82777;39.5;54.2;1884;3;not defined;Van Gogh;48.85338;2.35107;img24.png
55;129.33179;123.51282;108.24728;209.0445;50.22628;17.183645;50.931934;55.7;41;1885;9;not defined;Van Gogh;-30.06177;-51.17204;img25.png
56;63.92443;89.24838;62.4631;126.30616;123.57766;43.377453;35.774105;42.1;31.6;1887;9;not defined;Van Gogh;48.85338;2.35107;img26.png
57;120.207726;128.07266;116.38898;210.71046;121.81284;22.414598;52.665874;49.1;61;1888;7;not defined;Van Gogh;-30.06177;-51.17204;img27.png
58;151.63074;158.81917;153.83113;268.1034;129.96512;20.142807;66.32737;46.6;59.9;1889;5;not defined;Van Gogh;48.85338;2.35107;img28.png
59;145.19841;135.7559;90.19676;218.28352;59.19437;40.619358;58.973804;62;47.6;1889;8;not defined;Van Gogh;-30.06177;-51.17204;img29.png
60;178.06133;155.56339;89.08437;252.6694;55.07582;49.970383;71.169014;61.8;47.1;1889;6;not defined;Van Gogh;48.85338;2.35107;img3.png
61;81.088776;128.24655;150.37953;213.62718;175.56195;54.094444;64.378746;44.3;54;1890;5;not defined;Van Gogh;-30.06177;-51.17204;img4.png
62;85.602264;84.92623;64.073395;136.54893;107.85831;73.84508;46.954933;38;55.8;1882;7;not defined;Van Gogh;48.85338;2.35107;img5.png
63;32.752598;35.09114;22.386019;52.964653;92.20559;36.434288;14.333557;46.2;55.2;1887;7;not defined;Van Gogh;-30.06177;-51.17204;img6.png
64;158.16496;137.12207;90.04513;227.8744;79.40787;54.773296;67.42076;53.7;65.2;1887;7;not defined;Van Gogh;48.85338;2.35107;img7.png
65;66.18376;56.568604;13.219001;88.062706;18.21843;29.6828;26.092587;81;100;1887;7;not defined;Van Gogh;-30.06177;-51.17204;img8.png
66;123.56501;120.10077;96.356674;197.42622;105.94734;44.662422;56.5088;18.8;27;1887;8;not defined;Van Gogh;48.85338;2.35107;img9.png
